scenario,year,t,restrict_share,fragment_share,open_share,tau,mu,access,q_star_gwh,q_real_gwh,eta,gap_gwh
open_steps,2023.0,0.0,0.18,0.2,0.8200000000000001,0.12,0.08,0.1,750.0,640.7627639942588,0.854350351992345,109.23723600574124
open_steps,2023.01,0.01,0.17990911818088506,0.19932505568,0.8200908818191149,0.12,0.08,0.1,751.613244050095,642.2643238201864,0.854514378111969,109.34892022990857
open_steps,2023.02,0.02,0.17981764458748495,0.19865183197649164,0.820182355412515,0.12,0.08,0.1,753.2299581753437,643.7692351104348,0.8546782136360174,109.46072306490885
open_steps,2023.03,0.03,0.17972558186664594,0.19798032840440402,0.8202744181333541,0.12,0.08,0.1,754.8501498398498,645.2775045874984,0.8548418579825433,109.57264525235144
open_steps,2023.04,0.04,0.17963293266606425,0.19731054445374088,0.8203670673339357,0.12,0.08,0.1,756.4738265237731,646.789138987592,0.8550053105733801,109.68468753618117
open_steps,2023.05,0.05,0.17953969963421026,0.19664247958969847,0.8204603003657898,0.12,0.08,0.1,758.1009957233624,648.3041450606911,0.8551685708341463,109.79685066267132
open_steps,2023.06,0.06,0.17944588542025303,0.19597613325278368,0.820554114579747,0.12,0.08,0.1,759.7316649509916,649.8225295705756,0.8553316381942486,109.90913538041593
open_steps,2023.07,0.07,0.17935149267398537,0.19531150485893253,0.8206485073260146,0.12,0.08,0.1,761.3658417351927,651.3442992948688,0.8554945120868845,110.02154244032386
open_steps,2023.08,0.08,0.1792565240457491,0.19464859379962896,0.8207434759542509,0.12,0.08,0.1,763.0035336206926,652.8694610250817,0.8556571919490465,110.13407259561086
open_steps,2023.09,0.09,0.17916098218636087,0.19398739944202367,0.8208390178136391,0.12,0.08,0.1,764.6447481684459,654.3980215666534,0.8558196772215247,110.24672660179249
open_steps,2023.1,0.1,0.17906486974703817,0.1933279211290536,0.8209351302529618,0.12,0.08,0.1,766.2894929556714,655.9299877389935,0.855981967348909,110.35950521667792
open_steps,2023.11,0.11,0.17896818937932588,0.1926701581795613,0.8210318106206741,0.12,0.08,0.1,767.9377755758862,657.4653663755248,0.856144061779593,110.47240920036143
open_steps,2023.12,0.12,0.17887094373502313,0.1920141098884148,0.8211290562649769,0.12,0.08,0.1,769.5896036389408,659.0041643237242,0.856305959965776,110.5854393152166
